concept,definition,labels,sources
Algoritmo Húngaro,Algoritmo eficiente para resolver el problema de asignación en tiempo polinómico.,Técnicas de Resolución de Problemas,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Problema de los N cuerpos,Problema que busca predecir el movimiento individual de un grupo de objetos celestes que interactúan entre sí gravitacionalmente. Es computacionalmente intensivo y se resuelve típicamente usando simulaciones numéricas.,Técnicas de Resolución de Problemas,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo de Warshall,Algoritmo que determina la conectividad de todos los vértices en un grafo. Es utilizado para encontrar la clausura transitiva de un grafo.,Algoritmos sobre Grafos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Grafo Hamiltoniano,Grafo que contiene un ciclo que visita cada vértice exactamente una vez. Determinar la existencia de un ciclo hamiltoniano en un grafo es un problema NP completo.,Algoritmos sobre Grafos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Grafo Euleriano,Grafo en el que es posible recorrer cada arista exactamente una vez y regresar al punto de partida. La existencia de un ciclo euleriano puede determinarse en tiempo polinómico.,Algoritmos sobre Grafos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo de Kosaraju,Algoritmo eficiente para encontrar componentes fuertemente conectados en un grafo dirigido.,Algoritmos sobre Grafos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo de Tarjan,Algoritmo utilizado para detectar componentes fuertemente conectados en un grafo dirigido. Es más eficiente que el algoritmo de Kosaraju en la práctica.,Algoritmos sobre Grafos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Grafo Bipartito,Grafo cuyos nodos pueden dividirse en dos conjuntos disjuntos de manera que no existan aristas entre nodos del mismo conjunto. Determinar si un grafo es bipartito puede hacerse en tiempo polinómico.,Algoritmos sobre Grafos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo de Boruvka,Algoritmo para encontrar un árbol recubridor mínimo en un grafo. Es especialmente eficiente en grafos dispersos.,Algoritmos sobre Grafos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo de Christofides,"Algoritmo de aproximación para el problema del viajante. Garantiza una solución cuyo coste es, como máximo, 1.5 veces el coste óptimo. Es uno de los mejores algoritmos de aproximación para este problema.",Algoritmos sobre Grafos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Algoritmo de Fleury,"Algoritmo que construye un ciclo euleriano en un grafo, si este existe. Se basa en evitar puentes a menos que no haya otras opciones disponibles.",Algoritmos sobre Grafos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Algoritmo de Hierholzer,"Método para encontrar un ciclo euleriano en un grafo. Comienza por cualquier nodo y sigue un camino hasta regresar al nodo de inicio, luego expande el ciclo a otros nodos hasta que se recorran todas las aristas.",Algoritmos sobre Grafos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Grafo Dirigido (Digrafo),"Grafo en el que cada arista tiene una dirección asociada, es decir, va de un nodo a otro. Estas aristas dirigidas son comúnmente llamadas arcos.",Algoritmos sobre Grafos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Grafo No Dirigido,"Grafo en el que las aristas no tienen una dirección asociada. Es decir, la relación entre dos nodos es bidireccional.",Algoritmos sobre Grafos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Ciclo,"Secuencia de nodos en la que el primer y último nodo son el mismo, y todos los nodos son distintos entre sí (excepto el primero y el último).",Algoritmos sobre Grafos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Grafo Ponderado,Grafo en el que cada arista tiene un peso o valor asociado.,Algoritmos sobre Grafos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Grafo Denso,"Grafo en el que el número de aristas es cercano al número máximo posible de aristas. En un grafo no dirigido, el número máximo de aristas es 2n(n−1)​, donde n es el número de nodos.",Algoritmos sobre Grafos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Isomorfismo de Grafos,"Relación entre dos grafos que indica que son esencialmente iguales, aunque pueden estar dibujados o representados de manera diferente. Dos grafos son isomorfos si hay una correspondencia uno a uno entre sus nodos y aristas que preserva la estructura del grafo.",Algoritmos sobre Grafos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Subgrafo,Grafo formado a partir de un conjunto de nodos y un conjunto de aristas seleccionadas de un grafo original.,Algoritmos sobre Grafos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Componente Conectado,"Subgrafo en el que existe un camino entre cada par de nodos, y no está conectado a nodos adicionales en el grafo original.",Algoritmos sobre Grafos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Grado de un Nodo,"Número de aristas conectadas a un nodo. En un grafo dirigido, el grado se puede dividir en grado entrante y grado saliente.",Algoritmos sobre Grafos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Camino Hamiltoniano,Camino en un grafo que visita cada vértice exactamente una vez. Determinar la existencia de un camino hamiltoniano es un problema NP completo.,Algoritmos sobre Grafos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Grafo Planar,Grafo que puede ser dibujado en un plano sin que ninguna de sus aristas se crucen.,Algoritmos sobre Grafos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Grafo Ciclado,Grafo que contiene al menos un ciclo.,Algoritmos sobre Grafos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Grafo Acíclico,Grafo que no contiene ciclos. Estos grafos son comúnmente conocidos como DAGs (Directed Acyclic Graphs) cuando son dirigidos.,Algoritmos sobre Grafos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Bosque,"Colección de árboles. Si un grafo no contiene ciclos pero no es conectado, entonces es un bosque.",Algoritmos sobre Grafos,"[Levitin, A (2012). Introduction to the design and analysis of algorithms. Pearson. (Recomendada por UDG)] "
Vértice de Articulación,Nodo en un grafo no dirigido cuya eliminación aumenta el número de componentes conectados. La identificación de estos nodos es crucial para entender la estructura y robustez de redes.,Algoritmos sobre Grafos,"[Brassard, G. Bratley P. (2000). Fundamentos de algoritmia. Pearson. (Recomendada por UDG)] "
Matriz de Transformación,"Matriz utilizada para realizar transformaciones lineales en el espacio, como traslaciones, rotaciones y escalas.",Matemáticas para Gráficos 3D,"[Fletcher Dunn, Ian Parberry, 3D Math Primer for Graphics and Game Development, CRC Press, 2011. (Recomendada por UDG)] "
Proyección Perspectiva,"Técnica para representar objetos tridimensionales en un plano bidimensional, dando la ilusión de profundidad y perspectiva.",Matemáticas para Gráficos 3D,"[Fletcher Dunn, Ian Parberry, 3D Math Primer for Graphics and Game Development, CRC Press, 2011. (Recomendada por UDG)] "
Producto Punto,Operación matemática que toma dos vectores y devuelve un escalar. Es útil para determinar el ángulo entre dos vectores o la proyección de un vector sobre otro.,Matemáticas para Gráficos 3D,"[Fletcher Dunn, Ian Parberry, 3D Math Primer for Graphics and Game Development, CRC Press, 2011. (Recomendada por UDG)] "
Producto Cruz,Operación que toma dos vectores en el espacio tridimensional y devuelve un tercer vector perpendicular a los dos iniciales. Es útil para determinar la orientación relativa de dos vectores.,Matemáticas para Gráficos 3D,"[Fletcher Dunn, Ian Parberry, 3D Math Primer for Graphics and Game Development, CRC Press, 2011. (Recomendada por UDG)] "
Quaternión,Extensión de los números complejos que se utiliza para representar y calcular rotaciones en el espacio tridimensional.,Matemáticas para Gráficos 3D,"[Fletcher Dunn, Ian Parberry, 3D Math Primer for Graphics and Game Development, CRC Press, 2011. (Recomendada por UDG)] "
Interpolación Lineal,"Técnica para encontrar valores intermedios entre dos valores conocidos. En gráficos, es útil para animaciones y transiciones suaves entre estados.",Matemáticas para Gráficos 3D,"[Fletcher Dunn, Ian Parberry, 3D Math Primer for Graphics and Game Development, CRC Press, 2011. (Recomendada por UDG)] "
Transformación Afín,"Transformación que conserva líneas rectas en el espacio. Puede incluir traslación, rotación, escala y cizallamiento, pero no proyecciones perspectivas.",Matemáticas para Gráficos 3D,"[Fletcher Dunn, Ian Parberry, 3D Math Primer for Graphics and Game Development, CRC Press, 2011. (Recomendada por UDG)] "
Matriz de Vista,Matriz que transforma coordenadas del mundo a coordenadas de la cámara. Se utiliza para representar la posición y orientación de la cámara en una escena 3D.,Matemáticas para Gráficos 3D,"[Fletcher Dunn, Ian Parberry, 3D Math Primer for Graphics and Game Development, CRC Press, 2011. (Recomendada por UDG)] "
Matriz de Proyección,"Matriz utilizada para transformar coordenadas de la cámara a coordenadas de proyección, que luego pueden ser mapeadas a un plano bidimensional, como la pantalla de una computadora.",Matemáticas para Gráficos 3D,"[Fletcher Dunn, Ian Parberry, 3D Math Primer for Graphics and Game Development, CRC Press, 2011. (Recomendada por UDG)] "
Transformada de Fourier,"Herramienta matemática que descompone una función en sus componentes sinusoidales, útil para análisis de señales y procesamiento de imágenes en gráficos.",Matemáticas para Gráficos 3D,"[Fletcher Dunn, Ian Parberry, 3D Math Primer for Graphics and Game Development, CRC Press, 2011. (Recomendada por UDG)] "
Espacio Tangente,"En un punto dado en una superficie, el espacio tangente es el conjunto de vectores que son tangentes a la superficie en ese punto. Es fundamental para técnicas como el mapeo normal en gráficos 3D.",Matemáticas para Gráficos 3D,"[Fletcher Dunn, Ian Parberry, 3D Math Primer for Graphics and Game Development, CRC Press, 2011. (Recomendada por UDG)] "
Matriz de Rotación,Una matriz que se utiliza para realizar rotaciones en el espacio. Se define en función de un ángulo y un eje de rotación.,Matemáticas para Gráficos 3D,"[Fletcher Dunn, Ian Parberry, 3D Math Primer for Graphics and Game Development, CRC Press, 2011. (Recomendada por UDG)] "
Mapeo UV,Proceso de proyectar una imagen 2D (textura) en un modelo 3D. Los términos U y V denotan las coordenadas de la textura en un objeto tridimensional.,Matemáticas para Gráficos 3D,"[Fletcher Dunn, Ian Parberry, 3D Math Primer for Graphics and Game Development, CRC Press, 2011. (Recomendada por UDG)] "
Homogeneización,Proceso de convertir coordenadas no homogéneas en coordenadas homogéneas. Es esencial para operaciones de proyección en gráficos 3D.,Matemáticas para Gráficos 3D,"[Fletcher Dunn, Ian Parberry, 3D Math Primer for Graphics and Game Development, CRC Press, 2011. (Recomendada por UDG)] "
